Hand,Win %,Tie %,Loss %
3s Ad,52.2,4.2,43.6
3s Ac,53.8,3.4,42.8
3s As,55.6,4.2,40.2
4h 4d,56.6,1.4,42.0
4h 4c,54.0,2.0,44.0
4h 4s,58.0,1.6,40.4
4h 5h,42.8,5.0,52.2
4h 5d,36.6,6.2,57.2
4h 5c,35.2,6.4,58.4
4h 5s,31.2,4.4,64.4
4h 6h,40.0,5.6,54.4
4h 6d,32.4,4.8,62.8
4h 6c,35.2,6.6,58.2
4h 6s,37.0,5.2,57.8
4h 7h,40.2,6.2,53.6
4h 7d,36.0,5.0,59.0
4h 7c,35.8,6.8,57.4
4h 7s,39.6,6.6,53.8
4h 8h,35.2,5.0,59.8
4h 8d,36.4,6.0,57.6
4h 8c,38.2,3.0,58.8
4h 8s,35.8,5.8,58.4
4h 9h,44.4,5.8,49.8
4h 9d,39.6,3.8,56.6
4h 9c,40.8,4.8,54.4
4h 9s,35.2,6.8,58.0
4h Th,44.4,4.8,50.8
4h Td,44.2,6.0,49.8
4h Tc,38.4,5.0,56.6
4h Ts,41.0,5.0,54.0
4h Jh,48.0,5.8,46.2
4h Jd,41.6,4.2,54.2
4h Jc,44.2,4.6,51.2
4h Js,42.6,3.8,53.6
4h Qh,49.4,4.2,46.4
4h Qd,42.4,6.0,51.6
4h Qc,50.6,4.2,45.2
4h Qs,43.8,6.4,49.8
4h Kh,54.6,3.6,41.8
4h Kd,48.6,3.6,47.8
4h Kc,49.0,3.6,47.4
4h Ks,49.6,3.8,46.6
4h Ah,55.8,2.8,41.4
4h Ad,52.2,3.8,44.0
4h Ac,52.6,3.4,44.0
4h As,56.0,4.6,39.4
4d 4c,58.6,1.6,39.8
4d 4s,57.4,0.8,41.8
4d 5h,34.4,7.0,58.6
4d 5d,36.6,7.2,56.2
4d 5c,35.6,5.2,59.2
4d 5s,33.8,8.6,57.6
4d 6h,36.8,6.2,57.0
4d 6d,39.2,5.4,55.4
4d 6c,35.0,4.0,61.0
4d 6s,36.6,3.8,59.6
4d 7h,33.4,5.8,60.8
4d 7d,39.8,5.6,54.6
4d 7c,37.2,6.8,56.0
4d 7s,34.2,4.8,61.0
4d 8h,37.0,4.6,58.4
4d 8d,41.8,4.6,53.6
4d 8c,36.2,6.2,57.6
4d 8s,35.4,4.6,60.0
4d 9h,41.6,4.2,54.2
4d 9d,40.0,6.0,54.0
4d 9c,37.2,4.0,58.8
4d 9s,40.6,7.0,52.4
4d Th,38.4,5.6,56.0
4d Td,46.4,5.4,48.2
4d Tc,44.6,6.2,49.2
4d Ts,42.8,5.0,52.2
4d Jh,47.2,4.6,48.2
4d Jd,44.0,4.4,51.6
4d Jc,42.2,4.4,53.4
4d Js,44.2,5.4,50.4
4d Qh,52.2,5.4,42.4
4d Qd,45.2,4.2,50.6
4d Qc,47.2,3.8,49.0
4d Qs,46.2,4.4,49.4
4d Kh,49.4,5.6,45.0
4d Kd,51.4,4.8,43.8
4d Kc,43.2,5.8,51.0
4d Ks,51.2,6.0,42.8
4d Ah,52.2,5.8,42.0
4d Ad,56.2,3.8,40.0
4d Ac,51.4,4.6,44.0
4d As,54.2,4.2,41.6
4c 4s,58.6,1.2,40.2
4c 5h,34.2,7.2,58.6
4c 5d,33.4,7.6,59.0
4c 5c,30.4,9.0,60.6
4c 5s,34.2,6.6,59.2
4c 6h,39.2,5.4,55.4
4c 6d,34.6,4.2,61.2
4c 6c,38.0,4.8,57.2
4c 6s,33.6,7.2,59.2
4c 7h,33.8,6.2,60.0
4c 7d,37.8,5.0,57.2
4c 7c,38.6,6.0,55.4
4c 7s,33.2,4.8,62.0
4c 8h,38.6,4.2,57.2
4c 8d,35.8,6.2,58.0
4c 8c,40.0,5.6,54.4
4c 8s,38.6,5.4,56.0
4c 9h,39.0,5.8,55.2
4c 9d,36.4,3.8,59.8
4c 9c,45.8,4.6,49.6
4c 9s,38.4,7.2,54.4
4c Th,38.8,5.2,56.0
4c Td,40.4,3.8,55.8
4c Tc,41.8,4.2,54.0
4c Ts,38.8,3.2,58.0
4c Jh,43.6,4.0,52.4
4c Jd,44.0,5.4,50.6
4c Jc,46.4,3.2,50.4
4c Js,47.4,3.2,49.4
4c Qh,47.2,5.8,47.0
4c Qd,48.8,4.0,47.2
4c Qc,49.4,2.2,48.4
4c Qs,48.4,3.8,47.8
4c Kh,51.8,5.0,43.2
4c Kd,48.8,3.6,47.6
4c Kc,51.8,2.2,46.0
4c Ks,48.0,6.4,45.6
4c Ah,54.2,2.6,43.2
4c Ad,51.2,4.2,44.6
4c Ac,57.0,3.2,39.8
4c As,55.2,4.2,40.6
